embedding_model,llm_model,llm_before_rag,custom_experiment,precision,recall,map
Snowflake/snowflake-arctic-embed-l,phi3,False,,0.6503587153587154,0.9997150997150998,0.8818890986108248
Snowflake/snowflake-arctic-embed-l,phi3,True,,0.6503587153587154,0.9997150997150998,0.8818890986108248
Snowflake/snowflake-arctic-embed-l,phi3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
Snowflake/snowflake-arctic-embed-l,llama3,False,,0.6503587153587154,0.9997150997150998,0.8818890986108248
Snowflake/snowflake-arctic-embed-l,llama3,True,,0.6503587153587154,0.9997150997150998,0.8818890986108248
Snowflake/snowflake-arctic-embed-l,llama3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
Alibaba-NLP/gte-large-en-v1.5,llama3,False,,0.6481719248764702,0.9935147834769047,0.8124944306054139
Alibaba-NLP/gte-large-en-v1.5,llama3,True,,0.6481719248764702,0.9935147834769047,0.8124944306054139
Alibaba-NLP/gte-large-en-v1.5,llama3,No LLM filtering,,0.6481719248764702,0.9935147834769047,0.8124944306054139
BAAI/bge-large-en-v1.5,llama3,False,512_chunk,0.6547227323742475,0.9979275073972045,0.8259522762251688
BAAI/bge-large-en-v1.5,llama3,False,similarity_score_threshold_search,0.7046654902068915,0.9655886894421927,0.8152488113948533
BAAI/bge-large-en-v1.5,llama3,False,mmr_search,0.6659358738904193,0.9911131517192123,0.8500771034849167
BAAI/bge-large-en-v1.5,llama3,False,temperature_1,0.648773129928433,0.9808182838485869,0.8593124999240845
BAAI/bge-large-en-v1.5,llama3,True,temperature_1,0.648773129928433,0.9808182838485869,0.8593124999240845
BAAI/bge-large-en-v1.5,llama3,No LLM filtering,temperature_1,0.6432506887052342,1.0,0.7999588134662088
BAAI/bge-large-en-v1.5,llama3,False,128_chunk,0.6555440771349862,0.9978127231915112,0.8263521883273341
BAAI/bge-large-en-v1.5,phi3,False,,0.6592890442890443,0.9977674177674178,0.8396004484382461
BAAI/bge-large-en-v1.5,phi3,True,,0.6592890442890443,0.9977674177674178,0.8396004484382461
BAAI/bge-large-en-v1.5,phi3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
BAAI/bge-large-en-v1.5,llama3,False,,0.6592890442890443,0.9977674177674178,0.8396004484382461
BAAI/bge-large-en-v1.5,llama3,True,,0.6592890442890443,0.9977674177674178,0.8396004484382461
BAAI/bge-large-en-v1.5,llama3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
es,es,No LLM filtering,,0.645816753392511,0.9891236499191045,0.8802822080786621
BAAI/bge-base-en-v1.5,phi3,False,,0.6592191142191142,0.9977674177674178,0.8207266328432002
BAAI/bge-base-en-v1.5,phi3,True,,0.6592191142191142,0.9977674177674178,0.8207266328432002
BAAI/bge-base-en-v1.5,phi3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
BAAI/bge-base-en-v1.5,llama3,False,,0.6592191142191142,0.9977674177674178,0.8207266328432002
BAAI/bge-base-en-v1.5,llama3,True,,0.6592191142191142,0.9977674177674178,0.8207266328432002
BAAI/bge-base-en-v1.5,llama3,No LLM filtering,,0.6475524475524476,1.0,0.8036501822692299
